impression_id,timestamp,user_id,price_sensitivity,impulsiveness,risk_tolerance,review_dependency,ad_susceptibility,query,product_id,product_price,product_rating,is_sponsored,slot_position,pCTR,pCVR,bid,price_paid,clicked,converted,verdict,U_total
1388e032-55de-444e-af37-07c7cb0cff43,2026-04-15T22:45:16.368286+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B00HSAEACY,-1.0,5.0,True,0,0.0533,0.095,0.135,0.0728,True,True,BUY,0.9444
4d3cc0b2-943c-403d-97c9-904e99c59a64,2026-04-15T22:45:16.590376+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B0C1ZJ63G5,87.99,5.0,True,1,0.062321,0.045,0.0419,0.0,False,False,NOT_BUY,0.7829
2fe2bb9b-168c-46dd-92b0-3b340d2b3f67,2026-04-15T22:45:16.790898+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B07D5J3VKN,9.99,5.0,True,2,0.026052,0.095,0.0978,0.0,False,False,NOT_BUY,0.9099
866a8f5e-4909-46e3-b195-23e3a469c8ab,2026-04-15T22:45:16.871155+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B0BWXP6YDR,79.99,4.6,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.538
a550a9d8-f588-4aa2-8d9d-a67fb74f17e4,2026-04-15T22:45:16.949149+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B08M3XWMPF,149.99,4.0,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.6546
e8b993c4-c341-40c9-a770-f642b219906f,2026-04-15T22:45:17.025873+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B09J2HPMVY,139.99,4.2,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.6628
051005d3-682e-4c3b-93fc-b452fbce1960,2026-04-15T22:45:17.112264+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B09X2HDS5G,-1.0,4.1,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8802
b638fc52-9ae9-4c02-ac74-214361f34b3e,2026-04-15T22:45:17.195491+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B08L8QYJ8H,-1.0,4.0,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8718
4943e94b-6d3c-4e0e-90d0-3e0ab0c9144e,2026-04-15T22:45:20.461500+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B01N94CZQW,-1.0,5.0,True,0,0.057278,0.095,0.4386,0.4555,True,True,BUY,1.0
4682c9fb-ab91-4ba7-9af8-4200d605d2fa,2026-04-15T22:45:20.549250+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B01KSO6Z3I,-1.0,5.0,True,1,0.045586,0.095,0.4386,0.0,False,False,NOT_BUY,1.0
11e1c149-233c-4f33-a0e9-20e168c11c9c,2026-04-15T22:45:20.625920+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B01KSO6Z3I,-1.0,5.0,True,2,0.030768,0.095,0.4386,0.0,False,False,NOT_BUY,1.0
e1902ff1-a510-4d07-bbaf-994912d821a6,2026-04-15T22:45:20.705536+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B092CZKMX1,-1.0,3.7,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.662
993b74b3-071c-4c99-98f1-5e1856b1ac2a,2026-04-15T22:45:20.791722+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B09V1TM3S5,12.88,4.3,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8687
db338802-d702-45b7-a857-720b3426ecf5,2026-04-15T22:45:20.869961+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B0BJQL79YC,14.99,4.1,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8426
374b6853-2e68-435c-81f8-afd0191bbb6f,2026-04-15T22:45:20.947735+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B07PWV1VZB,17.0,3.3,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.4727
1a0754b8-8c4a-490c-b162-8923c59dce13,2026-04-15T22:45:21.032502+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B0BRP2ZZ6Y,12.99,4.3,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8683
f5d3f849-c0d5-457b-bd58-1bfb8ece94ad,2026-04-15T22:45:23.597639+00:00,UP-94CB9AE61F21,10,9,9,2,7,iphone 15 screen protector scratch resistant deal,B09FF19B8R,7.99,5.0,True,0,0.069059,0.045,0.1424,0.129,True,True,BUY,0.8712
dad8cf7a-d610-4b56-9658-ac847f9dc10e,2026-04-15T22:45:23.868620+00:00,UP-94CB9AE61F21,10,9,9,2,7,iphone 15 screen protector scratch resistant deal,B01G8HFA44,-1.0,4.7,True,1,0.050765,0.0902,0.1193,0.0,False,False,NOT_BUY,0.8627
56531f5d-101f-4bcd-a90c-e1aa3885c3ec,2026-04-15T22:45:24.075012+00:00,UP-94CB9AE61F21,10,9,9,2,7,iphone 15 screen protector scratch resistant deal,B09GBLFG9B,7.99,4.7,True,2,0.159246,0.0402,0.0362,0.0,False,False,NOT_BUY,0.8226
1c9a24a4-31bd-40d7-b025-31aa8cf325a9,2026-04-15T22:45:24.155741+00:00,UP-94CB9AE61F21,10,9,9,2,7,iphone 15 screen protector scratch resistant deal,B07WX741X7,-1.0,4.3,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8285
0508ccf7-0471-4bb1-9593-7d254c9ae73d,2026-04-15T22:45:24.227530+00:00,UP-94CB9AE61F21,10,9,9,2,7,iphone 15 screen protector scratch resistant deal,B07BGS7S7Z,-1.0,5.0,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.7943
f5e3b7e6-c4c7-4205-a239-14f4ced2ec3d,2026-04-15T22:45:24.311305+00:00,UP-94CB9AE61F21,10,9,9,2,7,iphone 15 screen protector scratch resistant deal,B07WK2JFJ6,-1.0,4.3,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.82
6db297e0-6006-44e2-9429-95708053a6fd,2026-04-15T22:45:24.386875+00:00,UP-94CB9AE61F21,10,9,9,2,7,iphone 15 screen protector scratch resistant deal,B07Z4G9KRQ,-1.0,4.2,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.7685
143c5465-3601-4e75-9cf7-7c6002ee0f3d,2026-04-15T22:45:24.465191+00:00,UP-94CB9AE61F21,10,9,9,2,7,iphone 15 screen protector scratch resistant deal,B07Z4G4MLV,-1.0,3.5,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.7461
71cafb49-96c4-4308-960e-50d2e5a70a2e,2026-04-15T22:45:26.891588+00:00,UP-E5D80A88C3C1,10,0,5,5,2,bulk supershieldz tempered glass iphone 14,B09FF19B8R,7.99,5.0,True,0,0.053161,0.095,0.4155,0.0,False,False,NOT_BUY,0.9607
76d0a4a9-1c6a-4607-97d1-ef1502a62479,2026-04-15T22:45:27.111432+00:00,UP-E5D80A88C3C1,10,0,5,5,2,bulk supershieldz tempered glass iphone 14,B09C172P8Q,-1.0,4.8,True,1,0.051459,0.0918,0.4015,0.0817,True,True,BUY,1.0
ff743ad1-9070-4c2f-876a-ba805a1e2a23,2026-04-15T22:45:27.274210+00:00,UP-E5D80A88C3C1,10,0,5,5,2,bulk supershieldz tempered glass iphone 14,B079GQLXFP,-1.0,5.0,True,2,0.036202,0.095,0.1936,0.0,False,False,NOT_BUY,1.0
accb00f0-cdeb-4036-962f-d00d91cae41d,2026-04-15T22:45:27.452728+00:00,UP-E5D80A88C3C1,10,0,5,5,2,bulk supershieldz tempered glass iphone 14,B075GW6PX1,10.99,4.2,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8695
3d6ec701-d589-4e9d-8dee-76ef6a018435,2026-04-15T22:45:27.512153+00:00,UP-E5D80A88C3C1,10,0,5,5,2,bulk supershieldz tempered glass iphone 14,B0BN2HT1T7,7.99,5.0,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.6507
797a7a6d-a32d-414f-bf45-7bcbe2311d74,2026-04-15T22:45:27.590428+00:00,UP-E5D80A88C3C1,10,0,5,5,2,bulk supershieldz tempered glass iphone 14,B07VS57LLN,7.99,4.5,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.9173
329317a2-db28-4238-84aa-2def1b97ddcf,2026-04-15T22:45:27.667923+00:00,UP-E5D80A88C3C1,10,0,5,5,2,bulk supershieldz tempered glass iphone 14,B0184N95WI,8.99,4.3,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8983
01b4df45-3a5b-4ff0-96c8-52822b086b99,2026-04-15T22:45:27.746871+00:00,UP-E5D80A88C3C1,10,0,5,5,2,bulk supershieldz tempered glass iphone 14,B07TW7MQQ7,7.99,4.7,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8304
fce0682e-7602-4a79-be74-31b51f90140e,2026-04-15T22:45:30.646746+00:00,UP-F30D30ED74A9,1,8,9,4,5,Baseus 65W GaN portable power bank fast charge,B00E97B4F0,-1.0,5.0,True,0,0.08003,0.095,0.3463,0.0,False,False,NOT_BUY,0.7789
be205dbd-8cab-4dd4-8051-4c36189245a6,2026-04-15T22:45:30.954614+00:00,UP-F30D30ED74A9,1,8,9,4,5,Baseus 65W GaN portable power bank fast charge,B001LV8J6O,-1.0,5.0,True,1,0.052992,0.095,0.3463,0.0,False,False,NOT_BUY,0.7789
f221214c-00d6-49f1-98c7-a5ee7d8f4b8c,2026-04-15T22:45:31.113280+00:00,UP-F30D30ED74A9,1,8,9,4,5,Baseus 65W GaN portable power bank fast charge,B01N94CZQW,-1.0,5.0,True,2,0.031429,0.095,0.4386,0.0,False,False,NOT_BUY,0.7789
9cbe1e95-4bb0-455d-9055-fa546d23eadc,2026-04-15T22:45:31.185330+00:00,UP-F30D30ED74A9,1,8,9,4,5,Baseus 65W GaN portable power bank fast charge,B08HRTX2FQ,-1.0,4.1,False,-1,0.0,0.0,0.0,0.0,True,False,ADD_TO_CART,0.8216
c2b5f2f5-b001-4f24-92f2-cde9fd8bd690,2026-04-15T22:45:31.268595+00:00,UP-F30D30ED74A9,1,8,9,4,5,Baseus 65W GaN portable power bank fast charge,B0BB59RSM8,209.9,4.8,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.5711
50ec54b2-8835-4a74-b6df-9e9743e796fa,2026-04-15T22:45:31.346688+00:00,UP-F30D30ED74A9,1,8,9,4,5,Baseus 65W GaN portable power bank fast charge,B09CGGW5J2,19.98,4.7,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.6392
6961d555-22c7-4394-afd9-1bb21cf18cf0,2026-04-15T22:45:31.445212+00:00,UP-F30D30ED74A9,1,8,9,4,5,Baseus 65W GaN portable power bank fast charge,B0B4DN17ND,-1.0,4.2,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.637
98888189-18f6-45f0-ad9e-19c59fcf0b6c,2026-04-15T22:45:31.511409+00:00,UP-F30D30ED74A9,1,8,9,4,5,Baseus 65W GaN portable power bank fast charge,B0BNKGFFYY,-1.0,5.0,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.5324
